Jan 16 01:31:49 dnsmasq[4577]: started, version 2.90 cachesize 400
Jan 16 01:31:49 dnsmasq[4577]: compile time options: IPv6 GNU-getopt DBus no-UBus no-i18n no-IDN DHCP DHCPv6 no-Lua TFTP no-conntrack ipset no-nftset auth no-cryptohash no-DNSSEC loop-detect inotify dumpfile
Jan 16 01:45:48 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:45:48 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:45:50 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:45:50 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:45:50 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:45:50 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:03 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:03 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:03 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:03 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:03 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:03 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:03 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:03 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:04 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:04 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:04 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:04 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:05 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:05 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:30 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:46:30 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:47:30 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:47:30 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:48:30 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:48:30 dnsmasq[4577]: Poll listen presence mq
